"","day","con","rep","hc","co2","co","car","dev"
"1",1,"NA",1,8.24,14.4,0.23,"Yugo",0
"2",1,"NA",2,20.2,16.27,0.32,"Yugo",0
"3",1,"NA",3,12.48,17.11,0.12,"Yugo",0
"4",1,"NA",4,20.27,15.53,0.32,"Yugo",0
"5",2,"NA",1,7.73,14.52,0.06,"Yugo",0
"6",2,"NA",2,13.1,16.45,0.05,"Yugo",0
"7",2,"NA",3,12.13,12.84,0.2,"Yugo",0
"8",2,"NA",4,10.03,13.84,0.12,"Yugo",0
"9",3,"NA",1,4.83,15.29,0.11,"Yugo",1
"10",3,"NA",2,4.33,13.46,0.16,"Yugo",1
"11",3,"NA",3,7.18,14.1,0.14,"Yugo",1
"12",3,"NA",4,5.51,16.55,0.05,"Yugo",1
"13",4,"NA",1,3.43,14.05,0.07,"Yugo",1
"14",4,"NA",2,9.16,13.84,0.23,"Yugo",1
"15",4,"NA",3,4.5,14.1,0.16,"Yugo",1
"16",4,"NA",4,7.06,11.92,0.17,"Yugo",1
"17",5,"NA",1,10.8,13.67,0.07,"Yugo",1
"18",5,"NA",2,10.23,14.8,0.09,"Yugo",1
"19",5,"NA",3,7.86,13.64,0.16,"Yugo",1
"20",5,"NA",4,5.73,16.38,0,"Yugo",1
"21",6,"NA",1,17.32,14.18,0.24,"Yugo",1
"22",6,"NA",2,23.08,14.23,0.01,"Yugo",1
"23",6,"NA",3,7.33,11.14,0.08,"Yugo",1
"24",6,"NA",4,5,13.96,0.2,"Yugo",1
"25",7,"NA",1,21.51,13.89,0.25,"Yugo",1
"26",7,"NA",2,24.7,14.42,0.16,"Yugo",1
"27",7,"NA",3,29.44,13.11,0.27,"Yugo",1
"28",7,"NA",4,27.91,13.59,0.17,"Yugo",1
"29",8,"NA",1,7.84,16.13,0.23,"Yugo",1
"30",8,"NA",2,4.72,16.32,0.1,"Yugo",1
"31",8,"NA",3,2.27,15.84,0.2,"Yugo",1
"32",8,"NA",4,2.98,15.52,0.3,"Yugo",1
"33",9,"NA",1,18.4,15.39,0.08,"Yugo",1
"34",9,"NA",2,13.91,15.55,0.02,"Yugo",1
"35",9,"NA",3,13.07,15.84,0.19,"Yugo",1
"36",9,"NA",4,7.35,15.34,0.11,"Yugo",1
"37",10,"NA",1,0.9,16.38,0.06,"Yugo",1
"38",10,"NA",2,2.66,15.28,0.1,"Yugo",1
"39",10,"NA",3,0.71,14.69,0.13,"Yugo",1
"40",10,"NA",4,0.17,15.31,0.16,"Yugo",1
"41",11,"NA",1,15.74,16.46,0.21,"Yugo",1
"42",11,"NA",2,9.62,14.79,0.14,"Yugo",1
"43",11,"NA",3,13.87,14.71,0.07,"Yugo",1
"44",11,"NA",4,11.62,13.47,0.13,"Yugo",1
"45",12,"NA",1,18.08,15.28,0.3,"Yugo",0
"46",12,"NA",2,11.16,15.07,0.11,"Yugo",0
"47",12,"NA",3,10.76,16.9,0.01,"Yugo",0
"48",12,"NA",4,5.22,15.19,0.11,"Yugo",0
"49",13,"NA",1,13.63,14.98,0.21,"Yugo",0
"50",13,"NA",2,14,14.21,0.21,"Yugo",0
"51",13,"NA",3,14.04,14.14,0.06,"Yugo",0
"52",13,"NA",4,12.5,13.62,0.14,"Yugo",0
"53",1,"1",1,3.69,15.22,0.06,"Bentley",0
"54",1,"1",2,1.62,15.28,0.05,"Bentley",0
"55",1,"1",3,3.58,15.26,0.06,"Bentley",0
"56",1,"2",1,1.38,15.22,0.05,"Bentley",0
"57",1,"2",2,1.23,14.84,0.05,"Bentley",0
"58",1,"2",3,2.85,15.37,0.06,"Bentley",0
"59",1,"3",1,2.12,14.68,0.02,"Bentley",0
"60",1,"3",2,1.41,14.68,0,"Bentley",0
"61",1,"3",3,0.88,14.75,0,"Bentley",0
"62",1,"4",1,8,14.74,0.03,"Bentley",0
"63",1,"4",2,9.67,14.76,0.06,"Bentley",0
"64",1,"4",3,12.69,14.74,0.05,"Bentley",0
"65",2,"1",1,5.23,14.92,0.05,"Bentley",0
"66",2,"1",2,6,14.95,0.06,"Bentley",0
"67",2,"1",3,3.77,14.94,0.04,"Bentley",0
"68",2,"2",1,8.15,14.95,0.07,"Bentley",0
"69",2,"2",2,15.31,14.98,0.07,"Bentley",0
"70",2,"2",3,5.31,15.18,0.05,"Bentley",0
"71",2,"3",1,1.65,15.6,0.04,"Bentley",0
"72",2,"3",2,4.31,15.39,0.03,"Bentley",0
"73",2,"3",3,NA,NA,NA,"Bentley",0
"74",2,"4",1,15.15,15.02,0.1,"Bentley",0
"75",2,"4",2,15.54,15.12,0.08,"Bentley",0
"76",2,"4",3,12.31,15.11,0.09,"Bentley",0
"77",3,"1",1,4.23,14.73,0.06,"Bentley",0
"78",3,"1",2,0.71,14.86,0.05,"Bentley",0
"79",3,"1",3,0.85,14.72,0.05,"Bentley",0
"80",3,"2",1,4.54,14.68,0.04,"Bentley",0
"81",3,"2",2,5.23,14.71,0.02,"Bentley",0
"82",3,"2",3,3.92,14.63,0.02,"Bentley",0
"83",3,"3",1,0.15,15.96,0.06,"Bentley",0
"84",3,"3",2,0.9,14.22,0.01,"Bentley",0
"85",3,"3",3,4.5,14.42,0.02,"Bentley",0
"86",3,"4",1,15.57,14.46,0.06,"Bentley",0
"87",3,"4",2,13.31,14.51,0.08,"Bentley",0
"88",3,"4",3,14.69,14.6,0.09,"Bentley",0
"89",4,"1",1,2.15,14.25,0.05,"Bentley",0
"90",4,"1",2,4,13.8,0.05,"Bentley",0
"91",4,"1",3,5.15,13.62,0.06,"Bentley",0
"92",4,"2",1,4.9,13.61,0.04,"Bentley",0
"93",4,"2",2,6.55,13.53,0.03,"Bentley",0
"94",4,"2",3,NA,NA,NA,"Bentley",0
"95",4,"3",1,0,13.96,0.02,"Bentley",0
"96",4,"3",2,3.67,13.89,0.04,"Bentley",0
"97",4,"3",3,0.07,13.98,0.02,"Bentley",0
"98",4,"4",1,8.46,13.88,0.08,"Bentley",0
"99",4,"4",2,9.69,13.23,0.12,"Bentley",0
"100",4,"4",3,1.62,13.69,0.08,"Bentley",0
"101",5,"1",1,10,13.91,0.05,"Bentley",0
"102",5,"1",2,10.77,13.93,0.05,"Bentley",0
"103",5,"1",3,8.58,14.02,0.06,"Bentley",0
"104",5,"2",1,8.9,14.01,0.08,"Bentley",0
"105",5,"2",2,8.3,14.14,0.06,"Bentley",0
